cpi_threshold,gdp_window,min_duration,pct_goldilocks,pct_overheating,pct_stagflation,pct_deflationary_bust,n_transitions,diag_goldilocks,diag_overheating,diag_stagflation,diag_deflationary_bust,avg_diag_persistence
2.0000,1,1,4.5700,32.1200,45.9700,17.3500,57,0.8000,0.9286,0.9238,0.8860,0.8846
2.0000,1,2,4.4100,32.2700,45.8100,17.5000,41,0.8966,0.9526,0.9402,0.9130,0.9256
2.0000,1,3,5.1800,31.8100,45.8100,17.2000,32,0.9412,0.9615,0.9535,0.9292,0.9464
2.0000,1,6,4.5700,31.9600,46.5800,16.8900,26,0.9333,0.9665,0.9641,0.9459,0.9525
2.0000,3,1,4.5700,32.2700,45.8100,17.3500,57,0.8000,0.9289,0.9236,0.8860,0.8846
2.0000,3,2,4.4100,32.5700,45.5100,17.5000,40,0.8966,0.9531,0.9431,0.9130,0.9264
2.0000,3,3,4.5700,32.4200,46.1200,16.8900,34,0.9333,0.9575,0.9505,0.9279,0.9423
2.0000,3,6,4.5700,31.9600,46.4200,17.0500,26,0.9333,0.9665,0.9639,0.9464,0.9526
2.0000,6,1,4.5700,32.2700,45.8100,17.3500,54,0.8000,0.9336,0.9302,0.8860,0.8875
2.0000,6,2,4.4100,32.5700,45.5100,17.5000,40,0.8966,0.9531,0.9431,0.9130,0.9264
2.0000,6,3,4.5700,32.4200,46.1200,16.8900,34,0.9333,0.9575,0.9505,0.9279,0.9423
2.0000,6,6,4.5700,31.9600,46.2700,17.2000,26,0.9333,0.9665,0.9638,0.9469,0.9526
2.2500,1,1,7.0000,29.6800,42.6200,20.7000,53,0.8261,0.9175,0.9321,0.9265,0.9006
2.2500,1,2,7.4600,29.2200,42.6200,20.7000,36,0.9184,0.9529,0.9464,0.9412,0.9397
2.2500,1,3,7.7600,29.2200,41.7000,21.3100,33,0.9216,0.9529,0.9526,0.9500,0.9443
2.2500,1,6,5.9400,29.0700,42.0100,22.9800,23,0.9487,0.9684,0.9638,0.9669,0.9619
2.2500,3,1,6.8500,29.9800,42.3100,20.8500,53,0.8222,0.9184,0.9317,0.9270,0.8998
2.2500,3,2,7.1500,29.8300,42.1600,20.8500,36,0.9149,0.9487,0.9495,0.9416,0.9387
2.2500,3,3,7.3100,29.3800,41.5500,21.7700,32,0.9375,0.9531,0.9524,0.9510,0.9485
2.2500,3,6,5.9400,29.2200,41.8600,22.9800,23,0.9487,0.9686,0.9636,0.9669,0.9620
2.2500,6,1,6.7000,30.1400,42.1600,21.0000,50,0.8182,0.9239,0.9386,0.9275,0.9021
2.2500,6,2,6.8500,29.9800,42.0100,21.1600,35,0.9333,0.9490,0.9493,0.9424,0.9435
2.2500,6,3,6.8500,29.9800,41.4000,21.7700,33,0.9333,0.9490,0.9522,0.9510,0.9464
2.2500,6,6,5.9400,30.1400,40.9400,22.9800,22,0.9487,0.9695,0.9665,0.9669,0.9629
2.5000,1,1,9.4400,27.2500,40.3300,22.9800,54,0.8710,0.9157,0.9245,0.9272,0.9096
2.5000,1,2,9.5900,27.2500,40.3300,22.8300,43,0.9048,0.9382,0.9396,0.9333,0.9290
2.5000,1,3,9.2800,27.2500,40.0300,23.4400,36,0.9180,0.9494,0.9468,0.9481,0.9406
2.5000,1,6,8.5200,27.5500,40.9400,22.9800,22,0.9643,0.9722,0.9628,0.9669,0.9666
2.5000,3,1,9.2800,27.5500,40.0300,23.1400,54,0.8689,0.9111,0.9278,0.9276,0.9088
2.5000,3,2,9.4400,27.4000,40.1800,22.9800,43,0.9032,0.9385,0.9394,0.9338,0.9287
2.5000,3,3,9.1300,27.4000,39.8800,23.5900,36,0.9167,0.9497,0.9466,0.9484,0.9403
2.5000,3,6,7.0000,27.7000,40.7900,24.5100,22,0.9565,0.9724,0.9627,0.9689,0.9651
2.5000,6,1,9.2800,27.5500,40.0300,23.1400,53,0.8525,0.9167,0.9316,0.9276,0.9071
2.5000,6,2,9.4400,27.5500,40.0300,22.9800,43,0.9032,0.9389,0.9392,0.9338,0.9288
2.5000,6,3,9.1300,27.5500,39.7300,23.5900,36,0.9167,0.9500,0.9464,0.9484,0.9404
2.5000,6,6,7.1500,28.6100,39.8800,24.3500,21,0.9574,0.9733,0.9656,0.9688,0.9663
2.7500,1,1,11.7200,24.9600,36.5300,26.7900,62,0.8961,0.9141,0.9000,0.9091,0.9048
2.7500,1,2,11.7200,24.8100,36.5300,26.9400,45,0.9221,0.9321,0.9292,0.9379,0.9303
2.7500,1,3,12.0200,24.2000,36.8300,26.9400,39,0.9359,0.9371,0.9380,0.9492,0.9400
2.7500,1,6,10.8100,25.7200,36.8300,26.6400,25,0.9577,0.9643,0.9587,0.9657,0.9616
2.7500,3,1,11.7200,25.1100,36.3800,26.7900,62,0.8961,0.9146,0.8996,0.9091,0.9049
2.7500,3,2,11.7200,24.9600,36.3800,26.9400,45,0.9221,0.9325,0.9289,0.9379,0.9303
2.7500,3,3,12.0200,24.3500,36.6800,26.9400,39,0.9359,0.9375,0.9378,0.9492,0.9401
2.7500,3,6,9.5900,25.7200,36.8300,27.8500,25,0.9524,0.9643,0.9587,0.9672,0.9606
2.7500,6,1,11.7200,25.1100,36.3800,26.7900,60,0.8961,0.9207,0.9038,0.9091,0.9074
2.7500,6,2,11.7200,25.1100,36.2300,26.9400,45,0.9221,0.9329,0.9286,0.9379,0.9304
2.7500,6,3,12.0200,24.8100,36.2300,26.9400,38,0.9359,0.9387,0.9412,0.9492,0.9412
2.7500,6,6,9.7400,25.5700,36.9900,27.7000,25,0.9531,0.9641,0.9588,0.9670,0.9608
3.0000,1,1,14.3100,22.3700,31.2000,32.1200,59,0.9255,0.9178,0.8878,0.9194,0.9126
3.0000,1,2,14.1600,22.3700,31.9600,31.5100,38,0.9565,0.9388,0.9286,0.9517,0.9439
3.0000,1,3,14.1600,22.0700,31.6600,32.1200,35,0.9565,0.9448,0.9327,0.9573,0.9478
3.0000,1,6,14.7600,20.8500,29.9800,34.4000,22,0.9688,0.9562,0.9645,0.9735,0.9657
3.0000,3,1,14.3100,22.5300,31.0500,32.1200,58,0.9255,0.9184,0.8922,0.9194,0.9139
3.0000,3,2,14.1600,22.3700,31.9600,31.5100,38,0.9565,0.9388,0.9286,0.9517,0.9439
3.0000,3,3,14.1600,22.0700,31.6600,32.1200,35,0.9565,0.9448,0.9327,0.9573,0.9478
3.0000,3,6,14.7600,21.0000,29.8300,34.4000,22,0.9688,0.9565,0.9643,0.9735,0.9658
3.0000,6,1,14.4600,22.3700,31.2000,31.9600,57,0.9158,0.9178,0.8976,0.9238,0.9137
3.0000,6,2,14.1600,22.3700,31.9600,31.5100,38,0.9565,0.9388,0.9286,0.9517,0.9439
3.0000,6,3,14.1600,22.0700,31.6600,32.1200,33,0.9565,0.9517,0.9375,0.9573,0.9508
3.0000,6,6,14.7600,21.0000,30.9000,33.3300,23,0.9688,0.9565,0.9606,0.9726,0.9646
